Year,ts,Month,Sales
2016,1,1,460
2016,2,2,446
2016,3,3,413
2016,4,4,399
2016,5,5,401
2016,6,6,373
2016,7,7,380
2016,8,8,354
2016,9,9,592
2016,10,10,482
2016,11,11,574
2016,12,12,699
2017,13,1,488
2017,14,2,505
2017,15,3,539
2017,16,4,412
2017,17,5,533
2017,18,6,368
2017,19,7,484
2017,20,8,512
2017,21,9,651
2017,22,10,568
2017,23,11,647
2017,24,12,863
2018,25,1,612
2018,26,2,675
2018,27,3,610
2018,28,4,679
2018,29,5,402
2018,30,6,451
2018,31,7,501
2018,32,8,695
2018,33,9,610
2018,34,10,636
2018,35,11,821
2018,36,12,669
2019,37,1,484
2019,38,2,662
2019,39,3,472
2019,40,4,420
2019,41,5,339
2019,42,6,364
2019,43,7,373
2019,44,8,317
2019,45,9,333
2019,46,10,333
2019,47,11,300
2019,48,12,403
